Date,Price,ATR,Final_Verdict,Market_Reality,Correct,Weighted_Score,Strong_Verdict,Trade_Allowed,Signal_Confidence,CE_Article_Count,CE_Sentiment,CE_Score,CE_Confidence,CE_Explanation,TTS_Score,TTS_Decision,TTS_Regime,TTS_Explanation,TTS_Breakout_Signal,TTS_Breakout_Strength,TTS_Breakout_High,TTS_Breakout_Low,SIV_Signal,SIV_Multiplier,SIV_Explanation,Verdict_Reasoning,Exit_Reason,Execution_Time_Seconds
01/02/2023,0.6797,0.008181428571428593,BUY,BEARISH,False,0.12803473,True,True,0.11334999999999999,4.0,NEUTRAL,-0.0017,0.16,skipped,0.225,BUY,TRENDING,skipped,NONE,0.0,0.6863,0.66671,PARTIAL,0.95,skipped,"[deterministic] weighted_score=0.128 → BUY (thresholds: >=0.1 BUY, <=-0.1 SELL)",SL,0.7557
01/03/2023,0.6724,0.00871500000000002,HOLD,BULLISH,False,-0.07435630000000001,True,False,0.14629999999999999,10.0,BULLISH,0.0676,0.4,skipped,-0.225,SELL,TRENDING,skipped,NONE,0.0,0.6863,0.66671,PARTIAL,0.85,skipped,"[deterministic] weighted_score=-0.0744 → HOLD (thresholds: >=0.1 BUY, <=-0.1 SELL)",HOLD_SKIP,0.2831
01/04/2023,0.68398,0.008545714285714299,BUY,BEARISH,False,0.3488636,True,True,0.36769999999999997,7.0,BULLISH,0.5104,0.28,skipped,0.225,BUY,TRENDING,skipped,NONE,0.0,0.6863,0.66671,COHERENT,1.0,skipped,"[deterministic] weighted_score=0.3489 → BUY (thresholds: >=0.1 BUY, <=-0.1 SELL)",SL,0.2186
01/05/2023,0.67512,0.008896428571428583,HOLD,BULLISH,False,0.07714779,True,False,0.07994639229338063,14.0,BULLISH,0.1149,0.56,skipped,0.045,HOLD,TRENDING,skipped,NONE,0.0,0.6863,0.66671,PARTIAL,0.95,skipped,"[deterministic] weighted_score=0.0771 → HOLD (thresholds: >=0.1 BUY, <=-0.1 SELL)",HOLD_SKIP,0.3705
01/06/2023,0.68742,0.009722142857142877,SELL,BULLISH,False,-0.13216989,True,True,0.18304646419686055,16.0,BEARISH,-0.3068,0.64,skipped,0.0593,HOLD,TRENDING,skipped,BREAKOUT_UP,0.0572,0.6863,0.66671,PARTIAL,0.95,skipped,"[deterministic] weighted_score=-0.1322 → SELL (thresholds: >=0.1 BUY, <=-0.1 SELL)",TIME,0.444
01/09/2023,0.69073,0.009430000000000018,SELL,BULLISH,False,-0.18388199999999993,True,True,0.22702262342099852,20.0,BEARISH,-0.3797,0.8,skipped,0.0743,HOLD,TRENDING,skipped,BREAKOUT_UP,0.1598,0.68742,0.66671,PARTIAL,0.95,skipped,"[deterministic] weighted_score=-0.1839 → SELL (thresholds: >=0.1 BUY, <=-0.1 SELL)",TIME,0.7091
01/10/2023,0.68872,0.009407857142857159,HOLD,BULLISH,False,0.07063610999999999,True,False,0.07544998135707873,11.0,BULLISH,0.1059,0.44,skipped,0.045,HOLD,TRENDING,skipped,NONE,0.0,0.69073,0.66671,PARTIAL,0.95,skipped,"[deterministic] weighted_score=0.0706 → HOLD (thresholds: >=0.1 BUY, <=-0.1 SELL)",HOLD_SKIP,0.4552
01/11/2023,0.6904,0.008945000000000012,HOLD,BULLISH,False,-0.03632306,False,False,0.07790795888678763,13.0,BEARISH,-0.1152,0.52,skipped,0.0406,HOLD,TRENDING,skipped,NONE,0.0,0.69073,0.66671,PARTIAL,0.95,skipped,"[deterministic] weighted_score=-0.0363 → HOLD (thresholds: >=0.1 BUY, <=-0.1 SELL)",HOLD_SKIP,0.3473
01/12/2023,0.69658,0.009263571428571435,SKIP,BEARISH,,0.0,,,,9.0,BEARISH,-0.2327,0.36,skipped,0.067,HOLD,TRENDING,skipped,NONE,0.0,,,PARTIAL,0.95,skipped,SKIP: weak signals — articles=9 |ce|=0.233 |tts|=0.067,QUALITY_GATE_SKIP,0.2716
01/13/2023,0.69676,0.00951357142857143,SKIP,BULLISH,,0.0,,,,5.0,BEARISH,-0.6777,0.2,skipped,0.0111,HOLD,TRENDING,skipped,NONE,0.0,,,PARTIAL,0.95,skipped,SKIP: weak signals — articles=5 |ce|=0.678 |tts|=0.011,QUALITY_GATE_SKIP,0.1799
01/16/2023,0.69518,0.009665000000000003,SKIP,BULLISH,,0.0,,,,12.0,NEUTRAL,0.0443,0.48,skipped,0.0237,HOLD,TRENDING,skipped,NONE,0.0,,,COHERENT,1.0,skipped,SKIP: weak signals — articles=12 |ce|=0.044 |tts|=0.024,QUALITY_GATE_SKIP,0.3763
01/17/2023,0.69872,0.009546428571428575,SKIP,BEARISH,,0.0,,,,6.0,BEARISH,-0.2066,0.24,skipped,0.0213,HOLD,TRENDING,skipped,NONE,0.0,,,PARTIAL,0.95,skipped,SKIP: weak signals — articles=6 |ce|=0.207 |tts|=0.021,QUALITY_GATE_SKIP,0.1744
01/18/2023,0.69416,0.009895000000000003,SKIP,BULLISH,,0.0,,,,4.0,BULLISH,0.814,0.16,skipped,0.045,HOLD,TRENDING,skipped,NONE,0.0,,,PARTIAL,0.95,skipped,SKIP: weak signals — articles=4 |ce|=0.814 |tts|=0.045,QUALITY_GATE_SKIP,0.1282
01/19/2023,0.69094,0.00994642857142857,SKIP,BULLISH,,0.0,,,,27.0,NEUTRAL,-0.0279,1.0,skipped,0.045,HOLD,TRENDING,skipped,NONE,0.0,,,COHERENT,1.0,skipped,SKIP: weak signals — articles=27 |ce|=0.028 |tts|=0.045,QUALITY_GATE_SKIP,0.7125
01/20/2023,0.69672,0.01020714285714285,HOLD,BULLISH,False,-0.06996654999999999,True,False,0.12226384689789963,11.0,BEARISH,-0.2003,0.44,skipped,0.0442,HOLD,TRANSITIONAL,skipped,NONE,0.0,0.69872,0.6713,PARTIAL,0.95,skipped,"[deterministic] weighted_score=-0.07 → HOLD (thresholds: >=0.1 BUY, <=-0.1 SELL)",HOLD_SKIP,0.3089
01/23/2023,0.70257,0.009722857142857136,BUY,BULLISH,True,0.11218227,True,True,0.12132957023677385,11.0,BULLISH,0.212,0.44,skipped,0.0307,HOLD,TRANSITIONAL,skipped,BREAKOUT_UP,0.1457,0.69872,0.6723,PARTIAL,0.95,skipped,"[deterministic] weighted_score=0.1122 → BUY (thresholds: >=0.1 BUY, <=-0.1 SELL)",TIME,0.4396
01/24/2023,0.70453,0.008969285714285711,HOLD,BULLISH,False,0.043324749999999995,False,False,0.04807453182384799,10.0,BULLISH,0.0888,0.4,skipped,0.0073,HOLD,TRANSITIONAL,skipped,BREAKOUT_UP,0.065,0.70257,0.6724,PARTIAL,0.95,skipped,"[deterministic] weighted_score=0.0433 → HOLD (thresholds: >=0.1 BUY, <=-0.1 SELL)",HOLD_SKIP,0.3347
01/25/2023,0.71026,0.008828571428571432,BUY,BEARISH,False,0.17320874999999997,True,True,0.1452678460375456,29.0,BULLISH,0.284,1.0,skipped,-0.0065,HOLD,TRANSITIONAL,skipped,BREAKOUT_UP,0.1783,0.70453,0.6724,PARTIAL,0.95,skipped,"[deterministic] weighted_score=0.1732 → BUY (thresholds: >=0.1 BUY, <=-0.1 SELL)",TIME,0.7621
01/26/2023,0.71137,0.00810214285714286,SELL,BEARISH,True,-0.16573358,True,True,0.1642188169879131,16.0,BEARISH,-0.2863,0.64,skipped,-0.0421,HOLD,RANGING,skipped,BREAKOUT_UP,0.0293,0.71026,0.6724,PARTIAL,0.95,skipped,"[deterministic] weighted_score=-0.1657 → SELL (thresholds: >=0.1 BUY, <=-0.1 SELL)",TIME,0.4443
01/27/2023,0.71064,0.007905714285714285,SKIP,BEARISH,,0.0,,,,9.0,BEARISH,-0.0884,0.36,skipped,-0.0336,HOLD,RANGING,skipped,NONE,0.0,,,PARTIAL,0.95,skipped,SKIP: weak signals — articles=9 |ce|=0.088 |tts|=0.034,QUALITY_GATE_SKIP,0.2848
01/30/2023,0.70598,0.007912857142857142,SELL,BULLISH,False,-0.11600183999999998,True,True,0.12238505272128616,22.0,BEARISH,-0.2166,0.88,skipped,0.0282,HOLD,RANGING,skipped,NONE,0.0,0.71137,0.6724,PARTIAL,0.95,skipped,"[deterministic] weighted_score=-0.116 → SELL (thresholds: >=0.1 BUY, <=-0.1 SELL)",SL,0.6385
