Date,Price,ATR,Final_Verdict,Market_Reality,Correct,Weighted_Score,Exit_Reason,CE_Article_Count,CE_Sentiment,CE_Score,CE_Confidence,TTS_Score,TTS_Decision,TTS_Regime,TTS_Breakout_Signal,TTS_Breakout_Strength,TTS_Breakout_High,TTS_Breakout_Low,SIV_Signal,SIV_Multiplier,Verdict_Reasoning,CE_Explanation,TTS_Explanation,SIV_Explanation,Execution_Time_Seconds,Strong_Verdict,Trade_Allowed,Signal_Confidence
01/01/2025,0.619,0.004577857142857141,SKIP,BULLISH,,0.0,QUALITY_GATE_SKIP,2.0,BEARISH,-0.4531,0.08,0.0686,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=2 |ce|=0.453 |tts|=0.069,skipped,skipped,skipped,0.1561,,,
01/02/2025,0.62019,0.004659285714285707,SKIP,BULLISH,,0.0,QUALITY_GATE_SKIP,9.0,BEARISH,-0.2709,0.36,0.2843,BUY,TRENDING,NONE,0.0,,,PARTIAL,0.85,SKIP: signal_mismatch — need CE strong (TTS unreliable),skipped,skipped,skipped,0.2117,,,
01/03/2025,0.62148,0.004618571428571424,HOLD,BULLISH,False,-0.05598065,HOLD_SKIP,10.0,BEARISH,-0.2466,0.4,0.1075,HOLD,TRENDING,NONE,0.0,0.64394,0.61867,PARTIAL,0.95,"[deterministic] weighted_score=-0.056 → SELL (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.1842,False,False,0.1770275433677901
01/06/2025,0.62455,0.004991428571428559,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,5.0,BULLISH,0.3237,0.2,0.0493,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=5 |ce|=0.324 |tts|=0.049,skipped,skipped,skipped,0.145,,,
01/07/2025,0.62295,0.004517857142857129,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,6.0,BEARISH,-0.2022,0.24,0.0674,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=6 |ce|=0.202 |tts|=0.067,skipped,skipped,skipped,0.1648,,,
01/08/2025,0.62132,0.004432857142857127,BUY,BEARISH,False,0.08078895,SL,20.0,BULLISH,0.085,0.8,0.0851,HOLD,TRENDING,NONE,0.0,0.63708,0.61867,PARTIAL,0.95,"[deterministic] weighted_score=0.0808 → BUY (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.5373,True,True,0.08504899473879743
01/09/2025,0.61948,0.004322857142857128,HOLD,BEARISH,False,0.035896000000000004,HOLD_SKIP,20.0,NEUTRAL,-0.0115,0.8,0.1041,HOLD,TRENDING,NONE,0.0,0.63708,0.61867,COHERENT,1.0,"[deterministic] weighted_score=0.0359 → HOLD (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.4756,False,False,0.05780841712180745
01/10/2025,0.6145,0.0044678571428571345,BUY,BULLISH,True,0.0662394,TIME,18.0,NEUTRAL,0.0471,0.72,0.0912,HOLD,TRENDING,BREAKOUT_DOWN,0.2265,0.63708,0.61867,COHERENT,1.0,"[deterministic] weighted_score=0.0662 → BUY (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.4572,True,True,0.06916351974592615
01/13/2025,0.61761,0.004609999999999987,HOLD,BULLISH,False,0.053079,HOLD_SKIP,20.0,NEUTRAL,0.0277,0.8,0.0896,HOLD,TRENDING,NONE,0.0,0.63708,0.6145,COHERENT,1.0,"[deterministic] weighted_score=0.0531 → BUY (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.5019,False,False,0.05867237236174895
01/14/2025,0.61938,0.0047299999999999886,SKIP,BULLISH,,0.0,QUALITY_GATE_SKIP,8.0,BEARISH,-0.126,0.32,0.0592,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=8 |ce|=0.126 |tts|=0.059,skipped,skipped,skipped,0.2248,,,
