Date,Price,Final_Verdict,Market_Reality,Correct,Weighted_Score,CE_Article_Count,CE_Sentiment,CE_Mean_Score,CE_Sentiment_Score,CE_Confidence,CE_Explanation,TTS_Score,TTS_Signal,TTS_Explanation,SIV_Signal,SIV_Explanation,Verdict_Reasoning,Exit_Reason,Execution_Time_Seconds
01/01/2024,0.8396,SELL,BULLISH,False,-0.1924,1.0,NEUTRAL,0.8941,0.0,LOW,pending_explanation,-0.4811,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.1924 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.2425
01/02/2024,0.85008,SELL,BULLISH,False,-0.7524,9.0,BEARISH,0.8863,-0.179,LOW,pending_explanation,-0.381,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7524 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.7996
01/03/2024,0.84899,SELL,BULLISH,False,-0.7544,22.0,BEARISH,0.7814,-0.1535,MODERATE,pending_explanation,-0.386,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7544 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.8111
01/04/2024,0.8502,SELL,BULLISH,False,-0.7503,15.0,BEARISH,0.87,-0.1004,MODERATE,pending_explanation,-0.3758,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7503 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.4024
01/05/2024,0.84945,BUY,BULLISH,True,0.4482,33.0,BULLISH,0.8128,0.0899,HIGH,pending_explanation,-0.3796,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.4482 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,1.2565
01/08/2024,0.84793,SELL,BULLISH,False,-0.7551,32.0,BEARISH,0.7739,-0.0825,HIGH,pending_explanation,-0.3877,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7551 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,1.4621
01/09/2024,0.85226,HOLD,BULLISH,False,-0.1394,36.0,NEUTRAL,0.8673,-0.0027,HIGH,pending_explanation,-0.3486,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.1394 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,1.5751
01/10/2024,0.8508,BUY,BULLISH,True,0.457,9.0,BULLISH,0.8568,0.2541,LOW,pending_explanation,-0.3575,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.457 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3537
01/11/2024,0.8518,SELL,BULLISH,False,-0.7394,18.0,BEARISH,0.8517,-0.1882,MODERATE,pending_explanation,-0.3484,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7394 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.8207
01/12/2024,0.85171,SELL,BULLISH,False,-0.7396,8.0,BEARISH,0.7839,-0.1182,LOW,pending_explanation,-0.349,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7396 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.2713
01/15/2024,0.85545,SELL,BULLISH,False,-0.7258,7.0,BEARISH,0.9011,-0.1261,LOW,pending_explanation,-0.3145,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7258 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.4875
01/16/2024,0.86154,SELL,BULLISH,False,-0.675,9.0,BEARISH,0.8296,-0.2431,LOW,pending_explanation,-0.1876,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.675 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.2192
01/17/2024,0.86435,SELL,BULLISH,False,-0.672,11.0,BEARISH,0.7798,-0.5401,LOW,pending_explanation,-0.1801,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.672 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.5151
01/18/2024,0.86802,BUY,BEARISH,False,0.5827,12.0,BULLISH,0.8141,0.1899,LOW,pending_explanation,-0.0432,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.5827 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3796
