Date,Price,ATR,Final_Verdict,Market_Reality,Correct,Weighted_Score,Exit_Reason,CE_Article_Count,CE_Sentiment,CE_Score,CE_Confidence,TTS_Score,TTS_Decision,TTS_Regime,TTS_Breakout_Signal,TTS_Breakout_Strength,TTS_Breakout_High,TTS_Breakout_Low,SIV_Signal,SIV_Multiplier,Verdict_Reasoning,CE_Explanation,TTS_Explanation,SIV_Explanation,Execution_Time_Seconds,Strong_Verdict,Trade_Allowed,Signal_Confidence
01/01/2025,0.9058,0.0056028571428571395,SKIP,BULLISH,,0.0,QUALITY_GATE_SKIP,2.0,NEUTRAL,0.0,0.08,-0.0161,HOLD,TRANSITIONAL,NONE,0.0,,,COHERENT,1.0,SKIP: weak signals — articles=2 |ce|=0.000 |tts|=0.016,skipped,skipped,skipped,0.1599,,,
01/02/2025,0.91219,0.006041428571428579,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,7.0,BULLISH,0.1528,0.28,-0.0366,HOLD,TRANSITIONAL,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=7 |ce|=0.153 |tts|=0.037,skipped,skipped,skipped,0.201,,,
01/03/2025,0.90822,0.006012142857142863,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,7.0,BEARISH,-0.0816,0.28,-0.0008,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=7 |ce|=0.082 |tts|=0.001,skipped,skipped,skipped,0.1637,,,
01/06/2025,0.90445,0.006272142857142861,SKIP,BULLISH,,0.0,QUALITY_GATE_SKIP,8.0,BEARISH,-0.2058,0.32,0.045,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=8 |ce|=0.206 |tts|=0.045,skipped,skipped,skipped,0.187,,,
01/07/2025,0.90855,0.006057857142857155,SKIP,BULLISH,,0.0,QUALITY_GATE_SKIP,7.0,BULLISH,0.1467,0.28,0.0153,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=7 |ce|=0.147 |tts|=0.015,skipped,skipped,skipped,0.1609,,,
01/08/2025,0.91026,0.005862142857142879,SELL,BULLISH,False,-0.10270639999999999,SL,15.0,BEARISH,-0.207,0.6,0.0034,HOLD,TRENDING,NONE,0.0,0.91219,0.88394,PARTIAL,0.95,"[deterministic] weighted_score=-0.1027 → SELL (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.4913,True,True,0.10518918778377374
01/09/2025,0.91141,0.005542142857142884,SELL,BULLISH,False,-0.16860029999999998,SL,21.0,BEARISH,-0.2917,0.84,-0.0047,HOLD,TRENDING,NONE,0.0,0.91219,0.89162,PARTIAL,0.95,"[deterministic] weighted_score=-0.1686 → SELL (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.6817,True,True,0.14818517277115242
01/10/2025,0.91603,0.0054592857142857455,SELL,BEARISH,True,-0.1080017,TIME,16.0,BEARISH,-0.2204,0.64,0.0126,HOLD,TRENDING,BREAKOUT_UP,0.1903,0.91219,0.89201,PARTIAL,0.95,"[deterministic] weighted_score=-0.108 → SELL (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.3839,True,True,0.11649682797342827
01/13/2025,0.91648,0.005542142857142892,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,18.0,NEUTRAL,-0.0458,0.72,-0.033,HOLD,TRENDING,NONE,0.0,,,COHERENT,1.0,SKIP: weak signals — articles=18 |ce|=0.046 |tts|=0.033,skipped,skipped,skipped,0.4695,,,
01/14/2025,0.91203,0.005799285714285745,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,8.0,BULLISH,0.2988,0.32,0.0236,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=8 |ce|=0.299 |tts|=0.024,skipped,skipped,skipped,0.2588,,,
01/15/2025,0.91252,0.006102142857142889,SELL,BEARISH,True,-0.14764235,TIME,5.0,NEUTRAL,-0.0311,0.2,-0.2418,SELL,TRENDING,NONE,0.0,0.91648,0.893,PARTIAL,0.95,"[deterministic] weighted_score=-0.1476 → SELL (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.2073,True,True,0.1364705879314703
01/16/2025,0.91037,0.006037857142857174,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,3.0,BEARISH,-0.2371,0.12,-0.045,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=3 |ce|=0.237 |tts|=0.045,skipped,skipped,skipped,0.1045,,,
01/17/2025,0.91443,0.005952142857142882,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,2.0,BULLISH,0.3497,0.08,-0.0753,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=2 |ce|=0.350 |tts|=0.075,skipped,skipped,skipped,0.0899,,,
01/20/2025,0.90614,0.006235000000000023,SKIP,BULLISH,,0.0,QUALITY_GATE_SKIP,6.0,BULLISH,0.0639,0.24,-0.045,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=6 |ce|=0.064 |tts|=0.045,skipped,skipped,skipped,0.1693,,,
01/21/2025,0.90723,0.0063157142857143056,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,0.0,NEUTRAL,0.0,0.0,-0.045,HOLD,TRENDING,NONE,0.0,,,COHERENT,1.0,SKIP: weak signals — articles=0 |ce|=0.000 |tts|=0.045,skipped,skipped,skipped,0.0218,,,
01/22/2025,0.90591,0.00591928571428573,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,2.0,BULLISH,0.455,0.08,-0.045,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=2 |ce|=0.455 |tts|=0.045,skipped,skipped,skipped,0.1013,,,
01/23/2025,0.90661,0.005963571428571449,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,3.0,BULLISH,0.2363,0.12,-0.045,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=3 |ce|=0.236 |tts|=0.045,skipped,skipped,skipped,0.1198,,,
01/24/2025,0.90483,0.005632142857142879,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,4.0,BEARISH,-0.064,0.16,-0.045,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=4 |ce|=0.064 |tts|=0.045,skipped,skipped,skipped,0.1344,,,
01/27/2025,0.90143,0.0058635714285714445,SELL,BULLISH,False,-0.26657513,SL,6.0,BEARISH,-0.544,0.24,-0.0883,HOLD,TRENDING,BREAKOUT_DOWN,0.173,0.91648,0.90365,PARTIAL,0.95,"[deterministic] weighted_score=-0.2666 → SELL (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.1546,True,True,0.31612898134080164
01/28/2025,0.90394,0.005992142857142875,SKIP,BULLISH,,0.0,QUALITY_GATE_SKIP,6.0,BEARISH,-0.1938,0.24,-0.045,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=6 |ce|=0.194 |tts|=0.045,skipped,skipped,skipped,0.1906,,,
01/29/2025,0.90638,0.0062171428571428655,SELL,BULLISH,False,-0.07961474999999998,SL,30.0,BEARISH,-0.1047,1.0,-0.045,HOLD,TRENDING,NONE,0.0,0.91648,0.90143,PARTIAL,0.95,"[deterministic] weighted_score=-0.0796 → SELL (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.7817,True,True,0.07484998615576574
01/30/2025,0.90928,0.005975000000000008,SELL,BULLISH,False,-0.09695414999999999,SL,12.0,BEARISH,-0.1605,0.48,-0.045,HOLD,TRENDING,NONE,0.0,0.91648,0.90143,PARTIAL,0.95,"[deterministic] weighted_score=-0.097 → SELL (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.2715,True,True,0.10274998156162204
