Date,Price,ATR,Final_Verdict,Market_Reality,Correct,Weighted_Score,Exit_Reason,CE_Article_Count,CE_Sentiment,CE_Score,CE_Confidence,TTS_Score,TTS_Decision,TTS_Regime,TTS_Breakout_Signal,TTS_Breakout_Strength,TTS_Breakout_High,TTS_Breakout_Low,SIV_Signal,SIV_Multiplier,Verdict_Reasoning,CE_Explanation,TTS_Explanation,SIV_Explanation,Execution_Time_Seconds,Strong_Verdict,Trade_Allowed,Signal_Confidence
01/02/2023,130.79,1.7988571428571447,SKIP,BULLISH,,0.0,QUALITY_GATE_SKIP,7.0,NEUTRAL,0.0298,0.28,0.001,HOLD,TRENDING,NONE,0.0,,,COHERENT,1.0,SKIP: weak signals — articles=7 |ce|=0.030 |tts|=0.001,skipped,skipped,skipped,0.5154,,,
01/03/2023,131.014,1.8292857142857173,SKIP,BULLISH,,0.0,QUALITY_GATE_SKIP,14.0,NEUTRAL,-0.0489,0.56,0.0024,HOLD,TRENDING,NONE,0.0,,,COHERENT,1.0,SKIP: weak signals — articles=14 |ce|=0.049 |tts|=0.002,skipped,skipped,skipped,0.3186,,,
01/04/2023,132.603,1.818714285714289,SKIP,BULLISH,,0.0,QUALITY_GATE_SKIP,7.0,BEARISH,-0.3935,0.28,0.225,BUY,TRENDING,NONE,0.0,,,PARTIAL,0.85,SKIP: signal_mismatch — need CE strong (TTS unreliable),skipped,skipped,skipped,0.2363,,,
01/05/2023,133.401,1.8723571428571444,SELL,BEARISH,True,-0.12406296999999997,TIME,11.0,BEARISH,-0.3193,0.44,0.045,HOLD,TRENDING,NONE,0.0,137.769,130.79,PARTIAL,0.95,"[deterministic] weighted_score=-0.1241 → SELL (thresholds: >=0.1 BUY, <=-0.1 SELL)",skipped,skipped,skipped,0.2618,True,True,0.18214999987220437
01/06/2023,132.03,1.9703571428571434,BUY,BULLISH,True,0.15578575,TIME,15.0,BULLISH,0.2695,0.6,0.045,HOLD,TRENDING,NONE,0.0,137.769,130.79,PARTIAL,0.95,"[deterministic] weighted_score=0.1558 → BUY (thresholds: >=0.1 BUY, <=-0.1 SELL)",skipped,skipped,skipped,0.3989,True,True,0.15724999987887261
01/09/2023,131.874,1.574,BUY,BEARISH,False,0.14768662,SL,16.0,BULLISH,0.2488,0.64,0.045,HOLD,TRENDING,NONE,0.0,137.769,130.79,PARTIAL,0.95,"[deterministic] weighted_score=0.1477 → BUY (thresholds: >=0.1 BUY, <=-0.1 SELL)",skipped,skipped,skipped,0.4425,True,True,0.1468999998809434
01/10/2023,132.25,1.5781428571428566,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,10.0,NEUTRAL,0.037,0.4,0.045,HOLD,TRENDING,NONE,0.0,,,COHERENT,1.0,SKIP: weak signals — articles=10 |ce|=0.037 |tts|=0.045,skipped,skipped,skipped,0.2471,,,
01/11/2023,132.468,1.5581428571428586,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,7.0,BEARISH,-0.0901,0.28,0.045,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=7 |ce|=0.090 |tts|=0.045,skipped,skipped,skipped,0.2021,,,
01/12/2023,129.27,1.7471428571428578,HOLD,BEARISH,False,-0.08621629999999998,HOLD_SKIP,10.0,BEARISH,-0.2435,0.4,0.0447,HOLD,TRENDING,BREAKOUT_DOWN,0.2178,137.769,130.79,PARTIAL,0.95,"[deterministic] weighted_score=-0.0862 → HOLD (thresholds: >=0.1 BUY, <=-0.1 SELL)",skipped,skipped,skipped,0.2496,True,False,0.14410446148356004
01/13/2023,127.853,1.8216428571428582,BUY,BULLISH,True,0.11140626999999999,TP,11.0,BULLISH,0.4932,0.44,-0.2059,SELL,TRANSITIONAL,BREAKOUT_DOWN,0.1857,136.9,129.27,PARTIAL,0.85,"[deterministic] weighted_score=0.1114 → BUY (thresholds: >=0.1 BUY, <=-0.1 SELL)",skipped,skipped,skipped,0.2868,True,True,0.34952601521505916
01/16/2023,128.57,1.8673571428571438,HOLD,BULLISH,False,0.06571549,HOLD_SKIP,13.0,BULLISH,0.1288,0.52,0.0081,HOLD,TRANSITIONAL,NONE,0.0,136.9,127.853,PARTIAL,0.95,"[deterministic] weighted_score=0.0657 → HOLD (thresholds: >=0.1 BUY, <=-0.1 SELL)",skipped,skipped,skipped,0.3896,True,False,0.06847275613692168
01/17/2023,128.1,1.8670714285714294,SELL,BULLISH,False,-0.19316255,SL,15.0,BEARISH,-0.4004,0.6,0.0189,HOLD,TRANSITIONAL,NONE,0.0,134.47,127.853,PARTIAL,0.95,"[deterministic] weighted_score=-0.1932 → SELL (thresholds: >=0.1 BUY, <=-0.1 SELL)",skipped,skipped,skipped,0.3998,True,True,0.20964990497876676
01/18/2023,128.887,2.0382857142857143,BUY,BULLISH,True,0.36499,TIME,72.0,BULLISH,0.6005,1.0,-0.0175,HOLD,TRANSITIONAL,NONE,0.0,134.47,127.853,PARTIAL,0.95,"[deterministic] weighted_score=0.365 → BUY (thresholds: >=0.1 BUY, <=-0.1 SELL)",skipped,skipped,skipped,1.5315,True,True,0.3090092192576749
01/19/2023,128.412,1.9540714285714285,HOLD,BULLISH,False,-0.04990236,HOLD_SKIP,16.0,BEARISH,-0.0921,0.64,-0.0057,HOLD,RANGING,NONE,0.0,134.47,127.853,PARTIAL,0.95,"[deterministic] weighted_score=-0.0499 → HOLD (thresholds: >=0.1 BUY, <=-0.1 SELL)",skipped,skipped,skipped,0.4365,False,False,0.04892123397490927
