Date,Price,ATR,Final_Verdict,Market_Reality,Correct,Weighted_Score,Strong_Verdict,Trade_Allowed,Signal_Confidence,CE_Article_Count,CE_Sentiment,CE_Score,CE_Confidence,CE_Explanation,TTS_Score,TTS_Decision,TTS_Regime,TTS_Explanation,TTS_Breakout_Signal,TTS_Breakout_Strength,TTS_Breakout_High,TTS_Breakout_Low,SIV_Signal,SIV_Multiplier,SIV_Explanation,Verdict_Reasoning,Exit_Reason,Execution_Time_Seconds
01/01/2024,55.36,0.24657142857142947,SELL,BULLISH,False,-0.1759875,True,True,0.1425,0.0,NEUTRAL,0.0,0.0,pending_explanation,-0.285,SELL,RANGING,pending_explanation,NONE,0.0,56.07,55.3,PARTIAL,0.95,pending_explanation,"[deterministic] weighted_score=-0.176 → SELL (thresholds: >=0.05 BUY, <=-0.05 SELL)",TIME,0.1191
01/02/2024,55.6,0.26014285714285784,BUY,BULLISH,True,0.2919094,True,True,0.29395,3.0,BULLISH,0.3029,0.12,pending_explanation,0.285,BUY,RANGING,pending_explanation,NONE,0.0,56.07,55.3,COHERENT,1.0,pending_explanation,"[deterministic] weighted_score=0.2919 → BUY (thresholds: >=0.05 BUY, <=-0.05 SELL)",TIME,0.1195
01/03/2024,55.6,0.23721428571428607,SELL,BEARISH,True,-0.06621766,True,True,0.12229999731606234,14.0,BEARISH,-0.1876,0.56,pending_explanation,0.057,HOLD,RANGING,pending_explanation,NONE,0.0,56.07,55.3,PARTIAL,0.95,pending_explanation,"[deterministic] weighted_score=-0.0662 → SELL (thresholds: >=0.05 BUY, <=-0.05 SELL)",TIME,0.6031
01/04/2024,55.615,0.22435714285714323,SELL,BULLISH,False,-0.16444994,True,True,0.23289999822525076,12.0,BEARISH,-0.4088,0.48,pending_explanation,0.057,HOLD,RANGING,pending_explanation,NONE,0.0,56.07,55.3,PARTIAL,0.95,pending_explanation,"[deterministic] weighted_score=-0.1644 → SELL (thresholds: >=0.05 BUY, <=-0.05 SELL)",TIME,0.4624
01/05/2024,55.61,0.2375714285714286,BUY,BULLISH,True,0.13648744999999998,True,True,0.13044999849369243,20.0,BULLISH,0.2039,0.8,pending_explanation,0.057,HOLD,RANGING,pending_explanation,NONE,0.0,56.07,55.315,PARTIAL,0.95,pending_explanation,"[deterministic] weighted_score=0.1365 → BUY (thresholds: >=0.05 BUY, <=-0.05 SELL)",TIME,1.1014
01/08/2024,55.61,0.24257142857142863,SELL,BULLISH,False,-0.07527096999999999,True,True,0.11314999859552935,21.0,BEARISH,-0.1693,0.84,pending_explanation,0.057,HOLD,RANGING,pending_explanation,NONE,0.0,56.07,55.36,PARTIAL,0.95,pending_explanation,"[deterministic] weighted_score=-0.0753 → SELL (thresholds: >=0.05 BUY, <=-0.05 SELL)",SL,1.0697
01/09/2024,56.03,0.2595000000000002,BUY,BULLISH,True,0.17134352,True,True,0.1785802953305674,13.0,BULLISH,0.3254,0.52,pending_explanation,0.0318,HOLD,RANGING,pending_explanation,NONE,0.0,56.07,55.36,PARTIAL,0.95,pending_explanation,"[deterministic] weighted_score=0.1713 → BUY (thresholds: >=0.05 BUY, <=-0.05 SELL)",TIME,0.4467
01/10/2024,56.26,0.26878571428571413,BUY,BEARISH,False,0.17066636,True,True,0.21262296642496983,12.0,BULLISH,0.3948,0.48,pending_explanation,-0.0304,HOLD,RANGING,pending_explanation,BREAKOUT_UP,0.2676,56.07,55.36,PARTIAL,0.95,pending_explanation,"[deterministic] weighted_score=0.1707 → BUY (thresholds: >=0.05 BUY, <=-0.05 SELL)",TIME,0.3944
01/11/2024,56.09,0.272357142857142,SELL,BEARISH,True,-0.15825119,True,True,0.2108570452309021,13.0,BEARISH,-0.3749,0.52,pending_explanation,0.0468,HOLD,RANGING,pending_explanation,NONE,0.0,56.26,55.36,PARTIAL,0.95,pending_explanation,"[deterministic] weighted_score=-0.1583 → SELL (thresholds: >=0.05 BUY, <=-0.05 SELL)",TIME,0.4493
01/12/2024,55.9,0.2741428571428567,SKIP,BULLISH,,0.0,,,,6.0,BULLISH,0.4131,0.24,skipped,0.057,HOLD,RANGING,skipped,NONE,0.0,,,PARTIAL,0.95,skipped,SKIP: weak signals — articles=6 |ce|=0.413 |tts|=0.057,QUALITY_GATE_SKIP,0.2149
01/15/2024,55.79,0.27757142857142825,SKIP,BULLISH,,0.0,,,,2.0,NEUTRAL,-0.0368,0.08,skipped,0.057,HOLD,RANGING,skipped,NONE,0.0,,,COHERENT,1.0,skipped,SKIP: weak signals — articles=2 |ce|=0.037 |tts|=0.057,QUALITY_GATE_SKIP,0.1192
01/16/2024,55.915,0.26114285714285657,SKIP,BULLISH,,0.0,,,,5.0,BEARISH,-0.2476,0.2,skipped,0.057,HOLD,RANGING,skipped,NONE,0.0,,,PARTIAL,0.95,skipped,SKIP: weak signals — articles=5 |ce|=0.248 |tts|=0.057,QUALITY_GATE_SKIP,0.183
