Date,Price,ATR,Final_Verdict,Market_Reality,Correct,Weighted_Score,Exit_Reason,CE_Article_Count,CE_Sentiment,CE_Score,CE_Confidence,TTS_Score,TTS_Decision,TTS_Regime,TTS_Breakout_Signal,TTS_Breakout_Strength,TTS_Breakout_High,TTS_Breakout_Low,SIV_Signal,SIV_Multiplier,Verdict_Reasoning,CE_Explanation,TTS_Explanation,SIV_Explanation,Execution_Time_Seconds,Strong_Verdict,Trade_Allowed,Signal_Confidence
01/01/2025,58.076,0.3184285714285708,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,1.0,NEUTRAL,0.0,0.04,-0.045,HOLD,TRENDING,NONE,0.0,,,COHERENT,1.0,SKIP: weak signals — articles=1 |ce|=0.000 |tts|=0.045,skipped,skipped,skipped,0.3667,,,
01/02/2025,57.994,0.3087857142857133,SKIP,BULLISH,,0.0,QUALITY_GATE_SKIP,9.0,BULLISH,0.2205,0.36,-0.045,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=9 |ce|=0.221 |tts|=0.045,skipped,skipped,skipped,0.3469,,,
01/03/2025,58.067,0.3022857142857127,BUY,BULLISH,True,0.08177884999999999,TIME,10.0,BULLISH,0.2339,0.4,-0.045,HOLD,TRENDING,NONE,0.0,59.076,57.84,PARTIAL,0.95,"[deterministic] weighted_score=0.0818 → BUY (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.2997,True,True,0.13944999966407506
01/06/2025,58.03,0.3130714285714272,SKIP,BULLISH,,0.0,QUALITY_GATE_SKIP,10.0,NEUTRAL,0.0497,0.4,-0.045,HOLD,TRENDING,NONE,0.0,,,COHERENT,1.0,SKIP: weak signals — articles=10 |ce|=0.050 |tts|=0.045,skipped,skipped,skipped,0.3129,,,
01/07/2025,58.2,0.31235714285714217,SKIP,BULLISH,,0.0,QUALITY_GATE_SKIP,7.0,BULLISH,0.4093,0.28,-0.045,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=7 |ce|=0.409 |tts|=0.045,skipped,skipped,skipped,0.2093,,,
01/08/2025,58.52,0.3094999999999994,HOLD,BULLISH,False,-0.04869719,HOLD_SKIP,17.0,BEARISH,-0.0563,0.68,-0.045,HOLD,TRENDING,NONE,0.0,59.076,57.85,PARTIAL,0.95,"[deterministic] weighted_score=-0.0487 → HOLD (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.6846,False,False,0.0506499873114713
01/09/2025,58.454,0.2952142857142854,HOLD,BULLISH,False,0.014012760000000015,HOLD_SKIP,18.0,BEARISH,-0.1434,0.72,0.225,BUY,TRENDING,NONE,0.0,59.076,57.85,PARTIAL,0.85,"[deterministic] weighted_score=0.014 → HOLD (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.7004,False,False,0.18419999999999997
01/10/2025,58.642,0.3009999999999999,SELL,BEARISH,True,-0.08107204999999999,TIME,19.0,BEARISH,-0.1805,0.76,0.045,HOLD,TRENDING,NONE,0.0,59.076,57.85,PARTIAL,0.95,"[deterministic] weighted_score=-0.0811 → SELL (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.6694,True,True,0.1127499994479686
01/13/2025,58.66,0.3096428571428572,HOLD,BEARISH,False,-0.011338249999999994,HOLD_SKIP,20.0,BEARISH,-0.0515,0.8,0.045,HOLD,TRENDING,NONE,0.0,59.076,57.85,PARTIAL,0.95,"[deterministic] weighted_score=-0.0113 → HOLD (thresholds: >=0.05 BUY, <=-0.05 SELL)",pending_explanation,pending_explanation,pending_explanation,0.8031,False,False,0.04824999959156682
01/14/2025,58.705,0.32035714285714284,SKIP,BEARISH,,0.0,QUALITY_GATE_SKIP,9.0,BEARISH,-0.0823,0.36,0.045,HOLD,TRENDING,NONE,0.0,,,PARTIAL,0.95,SKIP: weak signals — articles=9 |ce|=0.082 |tts|=0.045,skipped,skipped,skipped,0.3398,,,
