Date,Price,Sentiment,Articles,Tech_Score,Weighted_Score,SIV_Signal,Final_Verdict,Market_Reality,Correct,Experiment_Config
08/01/2018,111.67,BULLISH,38,0.06,0.624,PARTIAL,BUY,BEARISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/02/2018,111.619,BULLISH,21,0.0571,0.6228,PARTIAL,BUY,BEARISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/03/2018,111.205,BULLISH,52,0.0178,0.6071,PARTIAL,BUY,BEARISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/06/2018,111.362,BULLISH,12,0.0379,0.6152,PARTIAL,BUY,BEARISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/07/2018,111.364,BULLISH,7,0.0389,0.6156,PARTIAL,BUY,BEARISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/08/2018,110.882,BULLISH,13,0.0011,0.6004,PARTIAL,BUY,BEARISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/09/2018,111.158,NEUTRAL,21,0.0174,0.007,PARTIAL,HOLD,BEARISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/10/2018,110.797,BULLISH,7,-0.001,0.5996,PARTIAL,BUY,BEARISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/13/2018,110.722,BULLISH,3,-0.0049,0.598,PARTIAL,BUY,BEARISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/14/2018,111.18,BEARISH,7,0.032,-0.5872,PARTIAL,SELL,BEARISH,True,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/15/2018,110.63,BULLISH,7,-0.005,0.598,PARTIAL,BUY,BEARISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/16/2018,110.945,BEARISH,7,0.0124,-0.595,PARTIAL,SELL,BEARISH,True,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/17/2018,110.49,BULLISH,9,-0.0086,0.5966,PARTIAL,BUY,BULLISH,True,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/20/2018,109.93,BULLISH,10,0.0122,0.6049,PARTIAL,BUY,BULLISH,True,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/21/2018,110.078,BULLISH,8,-0.0236,0.5906,PARTIAL,BUY,BULLISH,True,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/22/2018,110.549,BEARISH,16,0.0017,-0.5993,PARTIAL,SELL,BULLISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/23/2018,111.352,BULLISH,10,0.0542,0.6217,PARTIAL,BUY,BULLISH,True,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/24/2018,111.216,BEARISH,36,0.0457,-0.5817,PARTIAL,SELL,BULLISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/27/2018,111.074,BEARISH,4,0.0365,-0.5854,PARTIAL,SELL,BULLISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/28/2018,111.181,NEUTRAL,12,0.044,0.0176,PARTIAL,HOLD,BULLISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/29/2018,111.725,BEARISH,7,0.0786,-0.5686,PARTIAL,SELL,BEARISH,True,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/30/2018,111.018,BEARISH,7,0.021,-0.5916,PARTIAL,SELL,BULLISH,False,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/31/2018,111.02,BULLISH,13,0.0212,0.6085,PARTIAL,BUY,BULLISH,True,"{'pair': 'USDJPY', 'year': 2018, 'months': [8], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
