Date,Price,Final_Verdict,Market_Reality,Correct,Weighted_Score,CE_Article_Count,CE_Sentiment,CE_Mean_Score,CE_Sentiment_Score,CE_Confidence,CE_Explanation,TTS_Score,TTS_Signal,TTS_Explanation,SIV_Signal,SIV_Explanation,Verdict_Reasoning,Exit_Reason,Execution_Time_Seconds
01/01/2024,0.6806,SELL,BEARISH,True,-0.5408,4.0,BEARISH,0.8719,-0.2644,LOW,pending_explanation,0.148,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5408 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.0884
01/02/2024,0.67604,BUY,BEARISH,False,0.6447,12.0,BULLISH,0.8768,0.2393,LOW,pending_explanation,0.1118,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.6447 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.3177
01/03/2024,0.67309,SELL,BEARISH,True,-0.563,20.0,BEARISH,0.709,-0.1798,MODERATE,pending_explanation,0.0925,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.563 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.4585
01/04/2024,0.67067,BUY,BEARISH,False,0.6309,19.0,BULLISH,0.8606,0.1921,MODERATE,pending_explanation,0.0772,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.6309 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3528
01/05/2024,0.6711,BUY,BEARISH,False,0.634,25.0,BULLISH,0.7983,0.192,HIGH,pending_explanation,0.0851,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.634 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.5229
01/08/2024,0.6719,SELL,BEARISH,True,-0.5614,24.0,BEARISH,0.7466,-0.111,MODERATE,pending_explanation,0.0965,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5614 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.4366
01/09/2024,0.66868,BUY,BEARISH,False,0.6198,13.0,BULLISH,0.763,0.448,LOW,pending_explanation,0.0496,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.6198 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.2101
01/10/2024,0.66994,SELL,BEARISH,True,-0.5761,26.0,BEARISH,0.8427,-0.3252,HIGH,pending_explanation,0.0597,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5761 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TP,0.6218
01/11/2024,0.66865,SELL,BEARISH,True,-0.5788,71.0,BEARISH,0.6629,-0.4355,HIGH,pending_explanation,0.0531,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5788 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,1.2673
01/12/2024,0.66856,BUY,BEARISH,False,0.6215,6.0,BULLISH,0.8051,0.4081,LOW,pending_explanation,0.0538,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.6215 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.1159
