Date,Price,Final_Verdict,Market_Reality,Correct,Weighted_Score,CE_Article_Count,CE_Sentiment,CE_Mean_Score,CE_Sentiment_Score,CE_Confidence,CE_Explanation,TTS_Score,TTS_Signal,TTS_Explanation,SIV_Signal,SIV_Explanation,Verdict_Reasoning,Exit_Reason,Execution_Time_Seconds
01/01/2024,1.2723,SELL,BEARISH,True,-0.5355,2.0,BEARISH,0.7464,-0.2877,LOW,pending_explanation,0.1612,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5355 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.169
01/02/2024,1.26149,HOLD,BULLISH,False,0.0306,9.0,NEUTRAL,0.7839,0.0067,LOW,pending_explanation,0.0765,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.0306 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.2377
01/03/2024,1.26645,SELL,BULLISH,False,-0.5466,20.0,BEARISH,0.7352,-0.1937,MODERATE,pending_explanation,0.1335,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5466 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.5635
01/04/2024,1.26818,HOLD,BULLISH,False,0.0575,23.0,NEUTRAL,0.8124,-0.0005,MODERATE,pending_explanation,0.1437,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.0575 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.4916
01/05/2024,1.27173,BUY,BULLISH,True,0.665,27.0,BULLISH,0.807,0.2648,HIGH,pending_explanation,0.1626,BUY,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.665 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.7155
01/08/2024,1.27472,SELL,BEARISH,True,-0.5282,25.0,BEARISH,0.7371,-0.0901,HIGH,pending_explanation,0.1796,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5282 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.455
01/09/2024,1.27098,BUY,BEARISH,False,0.6649,15.0,BULLISH,0.7926,0.2143,MODERATE,pending_explanation,0.1622,BUY,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.6649 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2678
01/10/2024,1.2742,BUY,BEARISH,False,0.6722,12.0,BULLISH,0.7799,0.0832,LOW,pending_explanation,0.1804,BUY,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.6722 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2211
01/11/2024,1.27628,SELL,BEARISH,True,-0.5224,24.0,BEARISH,0.8024,-0.2665,MODERATE,pending_explanation,0.1939,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5224 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.6053
01/12/2024,1.27473,HOLD,BEARISH,False,0.0752,11.0,NEUTRAL,0.7438,-0.0306,LOW,pending_explanation,0.188,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.0752 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.2027
01/15/2024,1.27274,SELL,BEARISH,True,-0.5286,11.0,BEARISH,0.8351,-0.2292,LOW,pending_explanation,0.1784,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5286 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2033
01/16/2024,1.26365,SELL,BULLISH,False,-0.5642,18.0,BEARISH,0.8246,-0.5273,MODERATE,pending_explanation,0.0896,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5642 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3089
01/17/2024,1.26748,SELL,BULLISH,False,-0.5582,28.0,BEARISH,0.7639,-0.2923,HIGH,pending_explanation,0.1046,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5582 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.777
01/18/2024,1.27047,BUY,BULLISH,True,0.6666,18.0,BULLISH,0.7766,0.2177,MODERATE,pending_explanation,0.1664,BUY,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.6666 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.6663
01/19/2024,1.27008,SELL,BULLISH,False,-0.5338,8.0,BEARISH,0.8846,-0.2377,LOW,pending_explanation,0.1655,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5338 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2848
01/22/2024,1.27079,SELL,BULLISH,False,-0.5316,14.0,BEARISH,0.8733,-0.1826,LOW,pending_explanation,0.1709,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5316 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2
01/23/2024,1.26856,BUY,BULLISH,True,0.6629,11.0,BULLISH,0.8605,0.4984,LOW,pending_explanation,0.1573,BUY,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.6629 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1828
