Date,Price,Final_Verdict,Market_Reality,Correct,Weighted_Score,CE_Article_Count,CE_Sentiment,CE_Mean_Score,CE_Sentiment_Score,CE_Confidence,CE_Explanation,TTS_Score,TTS_Signal,TTS_Explanation,SIV_Signal,SIV_Explanation,Verdict_Reasoning,Exit_Reason,Execution_Time_Seconds
01/02/2023,0.426,SELL,BEARISH,True,-0.579,5.0,BEARISH,0.8026,-0.6192,LOW,pending_explanation,0.0525,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.579 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.6178
01/03/2023,0.4268,HOLD,BEARISH,False,0.0243,13.0,NEUTRAL,0.7636,0.0454,LOW,pending_explanation,0.0607,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.0243 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.1842
01/04/2023,0.421,BUY,BEARISH,False,0.6007,9.0,BULLISH,0.8439,0.1075,LOW,pending_explanation,0.0017,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.6007 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.335
01/05/2023,0.4184,BUY,BULLISH,True,0.5966,9.0,BULLISH,0.7733,0.0623,LOW,pending_explanation,-0.0086,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.5966 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1342
01/06/2023,0.4202,BUY,BULLISH,True,0.6029,2.0,BULLISH,0.8628,0.397,LOW,pending_explanation,0.0072,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.6029 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.0739
01/09/2023,0.4165,BUY,BULLISH,True,0.5955,9.0,BULLISH,0.8997,0.4184,LOW,pending_explanation,-0.0113,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.5955 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1899
01/10/2023,0.4141,BUY,BULLISH,True,0.587,26.0,BULLISH,0.8097,0.0623,HIGH,pending_explanation,-0.0325,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.587 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3738
01/11/2023,0.4153,BUY,BULLISH,True,0.5925,31.0,BULLISH,0.8253,0.0874,HIGH,pending_explanation,-0.0188,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.5925 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.507
01/12/2023,0.4254,SELL,BEARISH,True,-0.5731,16.0,BEARISH,0.8277,-0.191,MODERATE,pending_explanation,0.0673,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5731 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.265
01/13/2023,0.4292,HOLD,BEARISH,False,0.0347,16.0,NEUTRAL,0.8262,0.0389,MODERATE,pending_explanation,0.0867,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.0347 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.4581
01/16/2023,0.4239,HOLD,BEARISH,False,0.0273,20.0,NEUTRAL,0.8924,-0.0438,MODERATE,pending_explanation,0.0683,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.0273 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.293
01/17/2023,0.4284,BUY,BEARISH,False,0.643,17.0,BULLISH,0.7747,0.234,MODERATE,pending_explanation,0.1074,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.643 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2863
01/18/2023,0.4222,SELL,BEARISH,True,-0.5715,39.0,BEARISH,0.7428,-0.2405,HIGH,pending_explanation,0.0712,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5715 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.9182
01/19/2023,0.4253,SELL,BEARISH,True,-0.5604,29.0,BEARISH,0.8107,-0.2411,HIGH,pending_explanation,0.099,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5604 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.8842
01/20/2023,0.4201,BUY,BEARISH,False,0.628,19.0,BULLISH,0.7815,0.0519,MODERATE,pending_explanation,0.0701,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.628 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.273
01/23/2023,0.4174,HOLD,BULLISH,False,0.0156,13.0,NEUTRAL,0.8419,0.0491,LOW,pending_explanation,0.039,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.0156 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.1665
01/24/2023,0.4192,HOLD,BULLISH,False,0.0282,7.0,NEUTRAL,0.711,-0.0254,LOW,pending_explanation,0.0705,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.0282 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.1316
01/25/2023,0.4209,BUY,BEARISH,False,0.6345,4.0,BULLISH,0.8422,0.4696,LOW,pending_explanation,0.0863,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.6345 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.0949
01/26/2023,0.4184,BUY,BULLISH,True,0.6201,16.0,BULLISH,0.8105,0.37,MODERATE,pending_explanation,0.0503,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.6201 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.243
01/27/2023,0.4195,SELL,BEARISH,True,-0.567,7.0,BEARISH,0.7977,-0.3538,LOW,pending_explanation,0.0826,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.567 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1079
01/30/2023,0.418,BUY,BEARISH,False,0.6206,3.0,BULLISH,0.6941,0.4954,LOW,pending_explanation,0.0514,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.6206 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.0856
01/31/2023,0.4205,HOLD,BEARISH,False,0.0382,21.0,NEUTRAL,0.7643,0.0026,MODERATE,pending_explanation,0.0956,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.0382 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.2596
02/01/2023,0.4221,HOLD,BEARISH,False,0.045,8.0,NEUTRAL,0.775,-0.0035,LOW,pending_explanation,0.1124,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.045 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.1209
02/02/2023,0.4184,SELL,BEARISH,True,-0.5762,16.0,BEARISH,0.8424,-0.1636,MODERATE,pending_explanation,0.0595,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5762 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.7552
02/03/2023,0.4089,BUY,BULLISH,True,0.5958,14.0,BULLISH,0.8139,0.2264,LOW,pending_explanation,-0.0106,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.5958 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2807
02/06/2023,0.4104,HOLD,BULLISH,False,0.0065,10.0,NEUTRAL,0.8368,-0.0019,LOW,pending_explanation,0.0162,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.0065 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.2181
02/07/2023,0.4208,HOLD,BEARISH,False,0.0386,19.0,NEUTRAL,0.8874,-0.0464,MODERATE,pending_explanation,0.0964,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.0386 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.3374
02/08/2023,0.4169,BUY,BEARISH,False,0.6205,20.0,BULLISH,0.8124,0.4327,MODERATE,pending_explanation,0.0513,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.6205 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3258
02/09/2023,0.4138,BUY,BULLISH,True,0.6148,10.0,BULLISH,0.7823,0.2646,LOW,pending_explanation,0.037,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.6148 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3265
