Date,Price,Final_Verdict,Market_Reality,Correct,Weighted_Score,CE_Article_Count,CE_Sentiment,CE_Mean_Score,CE_Sentiment_Score,CE_Confidence,CE_Explanation,TTS_Score,TTS_Signal,TTS_Explanation,SIV_Signal,SIV_Explanation,Verdict_Reasoning,Exit_Reason,Execution_Time_Seconds
01/02/2023,1.35713,SELL,BEARISH,True,-0.4786,6.0,BEARISH,0.7288,-0.1693,LOW,pending_explanation,0.3034,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.4786 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.594
01/03/2023,1.3669,SELL,BEARISH,True,-0.4629,6.0,BEARISH,0.8519,-0.3634,LOW,pending_explanation,0.3428,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.4629 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TP,0.156
01/04/2023,1.34768,SELL,BULLISH,False,-0.5234,17.0,BEARISH,0.7621,-0.5273,MODERATE,pending_explanation,0.1916,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5234 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.3579
01/05/2023,1.35687,SELL,BEARISH,True,-0.4795,22.0,BEARISH,0.8534,-0.1958,MODERATE,pending_explanation,0.3013,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.4795 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.4477
01/06/2023,1.344,SELL,BEARISH,True,-0.5237,38.0,BEARISH,0.7823,-0.0769,HIGH,pending_explanation,0.1907,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5237 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.8472
01/09/2023,1.3388,BUY,BULLISH,True,0.6745,23.0,BULLISH,0.7521,0.1943,MODERATE,pending_explanation,0.1862,BUY,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.6745 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.705
01/10/2023,1.34235,SELL,BEARISH,True,-0.527,15.0,BEARISH,0.7682,-0.2068,MODERATE,pending_explanation,0.1824,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.527 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3014
01/11/2023,1.34208,HOLD,BEARISH,False,0.0727,11.0,NEUTRAL,0.7746,-0.0276,LOW,pending_explanation,0.1818,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.0727 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.603
01/12/2023,1.3364,SELL,BULLISH,False,-0.5321,9.0,BEARISH,0.846,-0.1028,LOW,pending_explanation,0.1697,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5321 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.4612
01/13/2023,1.339,BUY,BULLISH,True,0.6711,9.0,BULLISH,0.8021,0.1702,LOW,pending_explanation,0.1777,BUY,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.6711 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2092
01/16/2023,1.34045,SELL,BULLISH,False,-0.5276,13.0,BEARISH,0.7872,-0.1103,LOW,pending_explanation,0.1809,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5276 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.341
01/17/2023,1.3388,SELL,BULLISH,False,-0.5312,18.0,BEARISH,0.8066,-0.2992,MODERATE,pending_explanation,0.172,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5312 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.5345
01/18/2023,1.3488,SELL,BEARISH,True,-0.5197,3.0,BEARISH,0.8595,-0.8595,LOW,pending_explanation,0.2007,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5197 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1073
01/19/2023,1.3459,SELL,BEARISH,True,-0.5241,13.0,BEARISH,0.8621,-0.6091,LOW,pending_explanation,0.1897,BUY,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5241 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.4311
01/20/2023,1.3379,BUY,BEARISH,False,0.6657,21.0,BULLISH,0.7495,0.0591,MODERATE,pending_explanation,0.1643,BUY,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=0.6657 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.9782
